CO (ug/m3),H2S (ug/m3),NO2 (ug/m3),O3 (ug/m3),PM10 (ug/m3),PM2.5 (ug/m3),SO2 (ug/m3),Ruido (dB),UV,Humedad (%),Latitud,Longitud,Presion (hPa),Temperatura (C),Fecha
31.947,12.339,10.945,18.86,22.194,11.905,12.078,108.777,2.933,87.184,-12.0727360000001,-77.082687,101733.585,17.935,28/08/2020 13:00:00
83.922,8.553,13.223,56.195,23.041,13.802,7.555,113.211,2.465,88.035,-12.0727360000001,-77.0826870000006,101670.143,17.716,28/08/2020 14:00:00
5.747,5.664,14.13,12.98,25.705,8.096,8.926,113.455,2.021,85.954,-12.0727360000001,-77.0826870000005,101606.512,17.793,28/08/2020 15:00:00
0.016,5.85,15.725,17.466,27.794,7.76,6.459,102.471,1.31,87.916,-12.0727360000001,-77.0826870000006,101573.471,17.383,28/08/2020 16:00:00
0.08,4.058,16.629,33.768,43.958,10.732,4.789,95.747,0.573,90.585,-12.0727360000001,-77.0826870000006,101584.113,16.756,28/08/2020 17:00:00
0.901,3.052,19.255,45.471,63.768,14.836,4.065,92.451,0.083,94.313,-12.0727360000001,-77.0826870000006,101645.736,16.125,28/08/2020 18:00:00
12.456,4.91,18.642,39.557,67.644,14.994,3.949,100.257,0,94.641,-12.0727360000001,-77.0826870000006,101700.291,16.049,28/08/2020 19:00:00
0.354,4.479,17.821,50.207,61.992,14.921,3.935,109.886,0,98.004,-12.0727360000001,-77.0826870000005,101739.526,15.657,28/08/2020 20:00:00
0.917,4.74,17.444,43.642,86.434,17.351,4.869,101.827,0,99.555,-12.0727360000001,-77.0826870000005,101789.136,15.434,28/08/2020 21:00:00
0.082,4.346,16.837,38.167,104.303,19.393,5.091,87.933,0,99.9,-12.0727360000001,-77.0826870000005,101799.998,15.312,28/08/2020 22:00:00
0.322,4.43,15.666,34.712,105.933,21.928,6.226,87.107,0,99.841,-12.0727360000001,-77.0826870000005,101783.749,15.324,28/08/2020 23:00:00
0,4.663,15.379,28.732,107.795,22.726,6.93,71.319,0,99.38,-12.0727360000001,-77.0826870000005,101754.926,15.345,29/08/2020 00:00:00
0,4.691,13.922,26.426,105.555,21.564,8.97,67.252,0,99.899,-12.0727360000001,-77.0826870000005,101690.716,15.258,29/08/2020 01:00:00
0,5.489,13.276,15.67,114.354,22.898,10.042,65.683,0,99.9,-12.0727360000001,-77.0826870000006,101624.133,15.183,29/08/2020 02:00:00
0,4.692,13.166,22.21,148.696,30.748,10.183,67.489,0,99.9,-12.0727360000001,-77.0826870000006,101567.959,15.08,29/08/2020 03:00:00
0,6.218,12.902,12.264,80.189,19.399,10.791,65.901,0,99.9,-12.0727360000001,-77.0826870000006,101582.772,15.115,29/08/2020 04:00:00
68.507,5.665,13.535,34.279,52.766,13.3,9.757,72.385,0,99.896,-12.0727360000001,-77.0826870000005,101611.369,14.979,29/08/2020 05:00:00
13.264,4.463,13.985,39.724,69.58,16.831,9.465,70.864,0,99.856,-12.0727360000001,-77.0826870000006,101645.746,14.775,29/08/2020 06:00:00
145.63,8.91,15.251,18.901,79.327,20.339,12.321,74.268,0,99.591,-12.0727360000001,-77.0826870000006,101690.948,14.998,29/08/2020 07:00:00
268.301,10.591,16.659,34.764,54.158,14.413,13.333,81.447,0.193,98.721,-12.0727360000001,-77.0826870000006,101756.143,15.441,29/08/2020 08:00:00
379.556,15.258,15.986,22.203,19.315,5.969,16.935,79.932,0.511,93.932,-12.0727360000001,-77.0826870000005,101796.415,16.05,29/08/2020 09:00:00
327.313,20.214,12.93,3.524,14.524,4.375,19.602,101.347,1.198,87.772,-12.0727360000001,-77.0826870000006,101792.403,17.047,29/08/2020 10:00:00
128.064,21.213,10.201,3.508,10.872,4.282,18.687,113.433,2.022,81.821,-12.0727360000001,-77.0826870000005,101745.752,17.946,29/08/2020 11:00:00
127.012,8.168,12.219,32.805,15.8,5.505,13.183,118.757,1.538,84.241,-12.0727360000001,-77.0826870000005,101702.282,17.563,29/08/2020 12:00:00
81.198,5.836,14.296,43.879,15.491,4.747,11.944,117.016,1.483,89.103,-12.0727360000001,-77.0826870000005,101634.759,17.065,29/08/2020 13:00:00
121.491,9.03,14.043,35.369,10.462,3.544,12.399,116.273,1.659,90.666,-12.0727360000001,-77.0826870000006,101545.65,16.876,29/08/2020 14:00:00
85.65,8.862,14.141,35.95,14.727,3.75,12.229,106.596,1.246,90.848,-12.0727360000001,-77.0826870000005,101452.905,16.756,29/08/2020 15:00:00
6.019,6.28,12.921,39.008,13.45,3.727,10.25,96.726,0.985,91.756,-12.0727360000001,-77.0826870000005,101403.53,16.673,29/08/2020 16:00:00
0,3.166,13.832,52.8,24.266,6.468,8.268,95.408,0.4,93.355,-12.0727360000001,-77.0826870000006,101399.396,16.205,29/08/2020 17:00:00
0.18,3.325,15.065,57.053,33.104,7.889,7.429,86.286,0.051,95.263,-12.0727360000001,-77.0826870000006,101416.882,15.794,29/08/2020 18:00:00
7.777,3.674,15.417,60.087,44.984,9.285,7.479,91.87,0,97.216,-12.0727360000001,-77.0826870000005,101489.126,15.518,29/08/2020 19:00:00
4.518,4.885,15.402,42.82,64.411,13.607,8.905,82.053,0,99.133,-12.0727360000001,-77.0826870000006,101536.579,15.473,29/08/2020 20:00:00
0.057,5.116,14.822,45.126,62.643,14.692,8.705,100.835,0,99.506,-12.0727360000001,-77.0826870000005,101577.348,15.478,29/08/2020 21:00:00
0,4.527,14.546,38.715,79.479,15.621,9.142,91.899,0,99.643,-12.0727360000001,-77.0826870000005,101628.988,15.285,29/08/2020 22:00:00
0,3.421,14.539,46.357,78.263,14.525,9.005,89.487,0,99.9,-12.0727360000001,-77.0826870000005,101631.252,14.965,29/08/2020 23:00:00
0,3.728,14.083,44.797,99.171,16.755,9.317,82.763,0,99.9,-12.0727360000001,-77.0826870000006,101610.517,14.84,30/08/2020 00:00:00
0,3.616,13.938,42.328,112.251,20.864,9.399,78.669,0,99.9,-12.0727360000001,-77.0826870000005,101548.152,14.9,30/08/2020 01:00:00
0,4.247,13.448,32.076,114.676,22.143,10.072,74.953,0,99.9,-12.0727360000001,-77.0826870000006,101486.404,14.92,30/08/2020 02:00:00
0,3.808,13.487,32.516,110.051,21.167,9.995,68.741,0,99.9,-12.0727360000001,-77.0826870000006,101460.068,14.9,30/08/2020 03:00:00
0,7.122,12.721,6.184,124.717,24.511,11.512,65.205,0,99.9,-12.0727360000001,-77.0826870000006,101455.047,14.931,30/08/2020 04:00:00
0,4.107,13.509,20.202,106.29,21.649,9.893,65.425,0,99.9,-12.0727360000001,-77.0826870000006,101464.804,14.964,30/08/2020 05:00:00
2.098,5.756,13.981,18.044,63.348,14.561,11.168,66.473,0,99.9,-12.0727360000001,-77.0826870000006,101498.738,14.894,30/08/2020 06:00:00
1.649,5.031,13.862,29.025,98.101,20.29,10.685,73.516,0.028,99.9,-12.0727360000001,-77.0826870000006,101554.837,15.052,30/08/2020 07:00:00
13.349,6.254,12.944,24.444,22.994,6.03,12.424,77.94,0.229,96.704,-12.0727360000001,-77.0826870000005,101635.488,15.526,30/08/2020 08:00:00
10.22,9.552,11.693,19.377,51.993,11.458,13.915,82.566,0.6,93.5,-12.0727360000001,-77.0826870000006,101710.524,16.226,30/08/2020 09:00:00
0.088,7.024,11.593,31.195,43.316,10.566,12.068,103.98,0.942,93.338,-12.0727360000001,-77.0826870000006,101765.664,16.354,30/08/2020 10:00:00
0,8.081,10.673,24.549,16.864,5.117,12.299,104.866,1.273,91.439,-12.0727360000001,-77.0826870000005,101757.272,16.611,30/08/2020 11:00:00
0,8.244,9.429,12.525,14.067,3.79,13.294,89.592,1.432,89.027,-12.0727360000001,-77.0826870000005,101713.422,17.021,30/08/2020 12:00:00
0,9.164,8.164,10.746,14.315,3.856,14.174,92.612,2.041,86.552,-12.0727360000001,-77.0826870000005,101639.119,17.487,30/08/2020 13:00:00
0,10.255,8.26,22.058,8.661,2.916,12.234,96.273,2.072,86.135,-12.0727360000001,-77.0826870000005,101582.395,17.685,30/08/2020 14:00:00
0,10.055,8.7,16.141,10.219,3.07,10.947,98.15,2.034,83.338,-12.0727360000001,-77.0826870000006,101503.165,18.066,30/08/2020 15:00:00
0,7.038,11.362,30.452,12.749,3.46,9.022,96.643,1.595,84.751,-12.0727360000001,-77.0826870000004,101452.044,17.733,30/08/2020 16:00:00
0,2.554,15.628,68.67,14.28,3.624,5.265,87.298,0.312,91.767,-12.0727360000001,-77.0826870000005,101459.584,16.355,30/08/2020 17:00:00
0,2.867,16.716,70.885,27.709,6.963,4.983,85.563,0.182,94.592,-12.0727360000001,-77.0826870000004,101484.33,16.067,30/08/2020 18:00:00
0,4.777,16.389,66.455,60.021,13.323,5.996,87.825,0,95.826,-12.0727360000001,-77.0826870000003,101536.142,15.8,30/08/2020 19:00:00
0,5.412,15.678,59.354,47.443,10.166,6.745,89.814,0,97.189,-12.0727360000001,-77.0826870000003,101573.748,15.721,30/08/2020 20:00:00
0,6.14,15.203,48.734,54.393,12.199,7.797,77.845,0,96.786,-12.0727360000001,-77.0826870000005,101577.708,15.68,30/08/2020 21:00:00
